2019-09-03 16:38:37.7819 | TRACE | GamesOfThrones.Services.ArmyService | Выбран самый сильный и здоровый отряд для компьютера, где здоровье = 1046.
2019-09-03 16:38:37.7819 | TRACE | GamesOfThrones.Services.ArmyService | Выбран список самых сильных отрядов для компьютера, где сила удара = 304. Их количество: 1
2019-09-03 16:38:37.7969 | TRACE | GamesOfThrones.Services.GameService | Отряд Кентавр нападал на отряд Скелет.
2019-09-03 16:38:37.7969 | TRACE | GamesOfThrones.Services.GameService | Переход хода, играет Человек.
2019-09-03 16:38:37.7969 | TRACE | GamesOfThrones.Services.ArmyService | Информация об армии Некрополис выведена на консоль.
2019-09-03 16:38:37.7969 | TRACE | GamesOfThrones.Services.ArmyService | Информация об армии Оплот выведена на консоль.
2019-09-03 16:38:54.8949 | TRACE | GamesOfThrones.Services.ArmyService | Найденный отряд: Кентавр.
2019-09-03 16:38:59.0101 | TRACE | GamesOfThrones.Services.ArmyService | Найденный отряд: Вампир.
2019-09-03 16:38:59.0101 | TRACE | GamesOfThrones.Services.GameService | Отряд Вампир нападал на отряд Кентавр.
2019-09-03 16:38:59.0131 | TRACE | GamesOfThrones.Services.GameService | Переход хода, играет Компьютер.
2019-09-03 16:38:59.0131 | TRACE | GamesOfThrones.Services.ArmyService | Информация об армии Некрополис выведена на консоль.
2019-09-03 16:38:59.0131 | TRACE | GamesOfThrones.Services.ArmyService | Информация об армии Оплот выведена на консоль.
2019-09-03 16:38:59.0131 | TRACE | GamesOfThrones.Services.ArmyService | Выбран список самых сильных отрядов для компьютера, где сила удара = 160. Их количество: 1
2019-09-03 16:38:59.0131 | TRACE | GamesOfThrones.Services.ArmyService | Выбран самый сильный и здоровый отряд для компьютера, где здоровье = 816.
2019-09-03 16:38:59.0131 | TRACE | GamesOfThrones.Services.ArmyService | Выбран список самых сильных отрядов для компьютера, где сила удара = 304. Их количество: 1
2019-09-03 16:38:59.0131 | TRACE | GamesOfThrones.Services.GameService | Отряд Кентавр нападал на отряд Скелет.
2019-09-03 16:38:59.0301 | TRACE | GamesOfThrones.Services.GameService | Переход хода, играет Человек.
2019-09-03 16:38:59.0301 | TRACE | GamesOfThrones.Services.ArmyService | Информация об армии Некрополис выведена на консоль.
2019-09-03 16:38:59.0301 | TRACE | GamesOfThrones.Services.ArmyService | Информация об армии Оплот выведена на консоль.
